,아이디,댓글 내용
33,  신깜콩,아카펠라 그룹은 아니지 않나요? 아카펠라는 반주 없이 합창하는 거 아닌가?
34,  피카츄,프로불편러여기있네
35,  JY Choi,묵은지 ㅇㅈ ㅋㅋ 완전 한국형 R&B 그룹
36,  케시움마케힘," @신깜콩  따지자면 그러합니다. ㅎㅎ하지만 포레스텔라처럼 반주  있어도 잘하고 없어도 잘하는 그룹도 아카펠라그룹이라고  하니깐요. 화음넣는 그룹중 굳이 반주 없어도 소화가능하다 라고 느끼는부분의 아카펠라를 말씀드리는겁니다. 님이 말한 기준의 아카펠라는  펜타토닉스,라야톤,리얼그룹,엑시트 같은 그룹이겠네요 혼선을 줬다면 죄송합니다."
37,  대건, @신깜콩  거미가 줄을타고 올라갑니다 하는거보면 이누나들은 반주 필요없음
38,  Rio Seongmin Ku,빅마마 같은 경우에는 아카펠라 그룹이라기 보다는 중창단이 맞을 것 같네요.
39,  하늘빙구,???: 사장님 여기 김치 뭐에요? 어머~ 제대로다 진짜아~! 집에서 해보게 뭐 썼는지 좀 알려줘바요! 아무한테도 말 안할게..! 우리만 알고 있을게 ㅎㅅㅎ..?
40,  다빙구,어린애들이라 빅마마 아카펠라 하는거 못본듯... 빅마마는 그냥 빅마마입니다.^^
41,  jazz man,고인물이란 역시...
42,  Na Mu, @jazz man  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂㄻ
43,  투구꽃 차 마셔서 투구 쓴 투구꽃 장씨!,학생들을 입다물게 만드는 교수님들의 조별과제 발표현장ㅋㅋㅋㅋㅋ
44,  Moonwave,ㅋㅋㅋㅋㅋㅋ너무웃겨욬ㅋㅋㅋ
45,  배우주,과제 너무 어려워요 드립 못함 학생들 개불쌍하누..
46,  Suah Wang,조별과제보다는 합동논문? 정도가....교수님 저희는 그저 말하는 감자에요
47,  KOREA LA,학술대회
48,  홍지만,레전드 졸업논문수준인데요 이건ㅋㅋ
49,  grey silver, @KOREA LA  MBC 주관 학술대회ㅎㄷㄷ
50,  HDudey -, @Suah Wang  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ말하는 감자 ㅋㅋㅋㅋ
51,  여성인권수호연맹,소울 뿜뿜하는 빅마마 교수님 ㅋㅋㅋ냄져들 바로 꼬리 깨갱 ㅋㅋㅋㅋ 🤣🤣
52,  네아니요, @여성인권수호연맹 부모님은 아시니?
53,  김민석, @여성인권수호연맹  빅마마 교수님은 결혼하셔셔 냄져하고 잘 살고 계시답니다 어린이
54,  조우현,"왼쪽부터 째즈좌, 소울좌, 폭발좌, 맑음좌"
55,  토르,이거네요
56,  송한영,다른 댓글에서 폭팔좌 말고 체념좌 라던데 이건 어떤가요ㅋㅋ
57,  조우현, @송한영  좋네요^^
58,  Frex Main Yoon,ㅋㅋㅋㅋㅋㅋ
59,  16 Hansung,소울좌 입덕했습니다
60,  조우현, @16 Hansung  저도 이번에 재발견했달까요^^ 더 깊어진거 같음
61,  박소연,빙고네
62,  Ssaemza 0,어머 이거 왜 베스트 댓글 아닌가요??????완전 맞는 말씀 찰떡 쿵떡 쿵기더러러러럭~~!!!
63,  조우현, @Ssaemza 0  덩기덕 덩더러러러~~~
64,  조우현, @빠셍  체념좌도 좋은데 그래도 폭발좌가 제 입에 잘 붙네요^^
65,  zisun,이분들 비긴어게인에서 섭외해서 외국가서 break away 부르면 진짜 끝장날듯 ㅋㅋ
66,  Kim Hyosun,생각만해도 대박…짜릿…🌟
67,  ༺ৡ༒슈카리༒ৡ༻,신연아 교수님이 비성으로 중음을 맡다보니 주목도가 낮은거 같운데 1996~2001년 녹음 코러스 세션활동하면서 발매된 음반의 80%정도를 참여한 레전드로 저 당시 음반코러스는 신연아를 거쳐갈수 밖에 없는 독과점 코러스였고 그 경험으로 당시 정규교육을 받았지만 화음에 익숙치 않았던 멤버들에게 현재의 빅마마식 화음을 탑재시키며 빅마마스타일을 구축함
68,  Bmmlove1,🙏🤭😭
69,  와우,주목도 낮지 않아요여기 계신 네분은 누가 잘하네 누가 파트 많네 누가 이끌어가네~~이런 비교를 할 수 없는 분들이에요빅마마 네분은 그냥 하나에요
70,  ༺ৡ༒슈카리༒ৡ༻, @와우  제가 말한 주목도는 파트분배나 실력을 말하는게 아닙니다.오해마세요. 네분 모두 스펙이나 커리어만으로도 실력이 어떻다라고 할 수 있는 사람은 없죠
71,  으악새, @Bmmlove1  오 여기서 뵙네요 구독자입니다 ㅎㅎ 요즘 너무 행복해용
72,  캬하하,어쩐지 화음부분에서 잘 잡아주는 목소리가 느껴졌는데 그게 신연아님인 걸 이 댓글 보고 깨달았네요. 보길 너무 잘한 댓글인듯 해요 신연아님께 더 빠져든 느낌
73,  힝구,"그때부터 교수님 끼가 있으셨네,,,"
74,  Bmmlove1, @으악새  안녕하세요!!😁😁
75,  코오닝koneee,아니..그런 어마어마한 역사를ㄱㅏ지고 있었군요 ㅠㅠ ♡
76,  Metaler메탈러,빅마마의 사운드 프로듀서나 마찬가지네요 ㄷㄷㄷ
77,  kang jura,그러게요 어릴때 들었을때랑 다르네요~~어릴때는 이지영님이랑 이영현님의 목소리가 더 개성있고 파워풀하고 더 눈에 띄었는데...박민혜님의 미성과 신연아님의 화음 정말 모두 합쳐야 빅마마네요~~
78,  Onion Soup,교수가 넷이면...조별과제❌ 학술대회⭕
79,  이형운,세상에
80,  부르릉바박,컨퍼런스급
81,  Tlye P,주접떠는거 턱주가리 날리고싶노
82,  감주리, @Tlye P  인생 불쌍
83,  sion colli, @Tlye P  사실인데 뭔 주접타령이고ㅋㅋ 진짜 다 교수인데 오바도 아니지
84,  Tlye P, @감주리  뚱뚱하고 키작은여자들특징 : 노래방가면 빅마마 체념 쥰나리부름 정상적이고 예쁜여자중에 빅마마빠는여자를 못봄 ㅋㅋ 동족심리인가
85,  최윤호, @Tlye P  옛다 관심.
86,  김민혁, @Tlye P  뚱뚱한 여자들이랑만 노래방 존나 간듯 ㅋㅋㅋㅋㅋ
87,  고양이사람, @Tlye P  느갬?
88,  향대 박, @Tlye P  주접떠는 댓글에 주접떠는 댓글다는 너는 뭐고 니도 턱주가리 날아갈래?
89,  크와왕,[공지] A+ 가이드라인입니다
90,  막사리,교수님 기준이 너무 빡세요ㅠㅜ
91,  ᄏᄏ,아 이댓글 넘 웃기다
92,  Onion Soup,수강변경 신청합니다
93,  팥녹두,ㅋㅋㅋㅋㅋㅋ너무해!!!!!
94,  Moonwave,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
95,  고양이,죽..여..줘..
96,  남석호,학교 안나갈랍니다..
97,  규규,현역 가수들도 에이쁠 못 받을 듯ㅋㅋㅋㅋㅋㅋ
98,  태호,기준이 너무 높아서 자퇴합니다..
99,  grey silver,숨도 안쉬고 드랍
100,  Tim Lee,가창은 말할 것도 없는데 감정표현이 진짜 미쳤다.. 이입 안할래야 안할 수가 없게 만드는 매력
101,  첼린져,"근데 2번째 분 파트인데, 1번째 분이 해서 나는 바로 알았어. 2번째 분이 지금 목이 가셨네. 그래서 1번째 분이 대신 파트 해준 듯. 고음 살짝 내는 부분에서 갈라진 느낌 바로 오네. 상태가 많이 안 좋은 신 듯. 갑자기 스케줄 늘어서 힘들었나보네."
102,  Jinny world,예전에는 몰랐는데 조합이 완벽함. 개개인의 장점이 뚜렷하고 각자 역할이 잘 잡혀있어서 그룹으로 조합이 완벽한 거 같음. 빅마마 흥해라~
103,  여름이누나,그니깐요 YG초기 양현석의 감각이 정말 어마무시했다는 걸 증명하는게 빅마마 아닐까 싶어요. 지금은 너무 변해버렸지만 ㅠㅠ
104,  악마흑마법사,Yg가 파트별로 노래 젤 잘하는 여자들 모아서 만든게 빅마마
105,  미트볼소시지,신연아가 괜히 리더가 아니구나.. 리드하는게 정말.. 이영현 이지영만 보다가 이제서야 진가를 알아봄 ㅠㅠ 죄송합니다
106,  Gavin Lee,시작과 끝을 기가막히게 담당해주시죠 진짜. 목소리가 옥구슬같아요
107,  이형운,괜히 힉과장이 아닌 ㅎㄷㄷㄷ
108,  홍이,우아하심.연느님~~~ 소오름~
109,  narrsha k,음색이 정말 엄청 우아하심
110,  악마흑마법사,리즈시절 다년간 수천수만곡 코러스경력으로 쌓인 화음 신공을 빅마마에 불어 넣으신 분임.
111,  최bbo,갓연아..
112,  G. Lee,빅마마 한창 활동하던때에도 가창력으로 손꼽긴했지만 근 20여년만에 나와서 다시 이렇게 조회수 터트리는거 보면 그동안 얼마나 가창력있는 가수를 사람들이 갈망했는지 반증하는 것 아닐까...............
113,  ᄌᄀ1,그것도 그렇고 2030세대들의 추억선을 관통하는 시대에 활동하던 분들이라 더 그런듯..... 그리워하는게 컸죠 저런 스타일의 그룹이 없다보니
114,  One Choi,코로나 시국에 잊고지냈던 예전의 가수들이 다시 활발하게 활동하는 모습들을 보며 뭔지모를 위로를 받네요. 뭔가 다시 잘 할 수 있을 거 같은 그런 느낌..고맙습니다
115,  백근영,ㅇㅈ
116,  이성준,ㅇㅈㅇㅈㅇㅈㅇㅈ
117,  명왕성에사는 여우,인정!!!!♥♥
118,  박영은-Emily,지영언니 양옆에서 고음 오지게 질러도 저음이 어찌 저리 잘들리지 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 개지려 ❤️❤️💓❤️‍🔥❤️‍🔥❤️‍🔥
119,  케시움마케힘,보이스컬러가 휘트니휴스턴 만큼이나 독보적으로 매력적임..미쳤음
120,  chang,진짜 대단한거 같음.... 옆에서 고음 지르는게 평범한 사람들도 아닌데 그 사이에서 저음으로 때려박음
121,  Water Pail,진심 저도 이거 보고 반했어요 왜 이런 보석을 모르고 살았는지..
122,  10th from_Amethyst,심지어 고음도 잘합니다 거부에서 애드립치는거 보면 아 이사람이 진정한 괴물이구나 싶더라구요
123,  승구,인정
124,  그래,이지영씨도 고음 지르시는데
125,  박영은-Emily,언니들땜에 .. 유튜브 프리미엄 결제했습니다..
126,  천의별빛,음향시설 개떡같은데 저정도라니...진짜 음향 맞춘새끼 관둬야함.
127,  박꼬야,진짜음향아쉽다ㅜㅜ
128,  Gavin Lee,딩고 보다가 이거 보니까 정말 ㅠㅠ..
129,  박제티,아 민혜누나 진짜 음색보소..ㅠㅠ
130,  케시움마케힘,너무 맑아서  마음이 정화 되는거 같음
131,  우라,‘내 눈을 보아도’ 한 번 들어보세요맑음 끝판왕
132,  이재하,지영누나 목소리 대박 ㅜㅜㅜ
133,  산타크로스,청량한데 폭발적임
134,  정츄,빅마마소울 - angel 이노래 2절 하이라이트에고음지려요..
135,  Gerald Kim,뭐 이정도면 국가대표로 나가도 세계무대에서 전혀 꿀리지않을 듯한 역대급 보컬리스트들 이랄까요? 각자 개성있는 특유의 톤과 발성이 정확히 쏙쏙 귀에 그대로 꽂히는 느낌이랄까?  계속 반복해도 이상하게 지겹지가 않네요. 보컬 전문가 선생님들의 보컬 정석 교과서급~~^^♡
136,  케시움마케힘,근데 진짜 생각보다  라이브들 잘못하는  가수들 투성임  빅마마 라이브 실력이면  최상급임 퀄리티 보세요  미쳤음
137,  이형운,보컬 올림픽 있으면 여자그룹 국가대표선수
138,  JongHo Park, @케시움마케힘  요새 신인 가수나 아이돌들이 저분들에게 배운분들이 꽤 있다고 알고 있네요..
139,  박태경,갓영현한테 갓세정 보이는데 정상인가요?
140,  장이수,정상입니다 저도그생각했고 댓글에많아요
141,  호곡,다이어트 이후 종종 겹쳐보임
142,  짜라,네..
143,  리안장,공감1
144,  shown Lee,퀸세정 96년생 갓영현 81년생...세정이 15년 더 지나면 닮을 거 같기도 ㅋㅋㅋ
145,  ibak kim,웃는 얼굴이 ㄹㅇ 비숫함
146,  J J,갓마마는 한몸입니다
147,  ON M,난 한번도 안보임
148,  Chloe korea 유,나도나됴
149,  Dark sailor,웃을때 눈매가 세정이랑 비슷
150,  노못남_취미생활기록,난 저 네분 반주시작하자마자 살랑살랑 반주타시는게 왜이리 아름답냐ㅎㅎ
151,  DDARA TV,그야말로 짬바🥰
152,  Galaxy Memi,빅여유가 빅만만 ㄷㄷㄷ
153,  Being a Coy,옛날에는 이영현 이지영이 눈에 더 띄었는데 지금은 신연아/박민혜의 비성/믹스보이스 발성이 훨씬 눈에 띔. 신연아목소리가 곡의 감정선 주춧돌역할임
154,  박상민,극공감
155,  주누,박민혜님 깔끔한 목소리 너무 좋아요 ㅠㅠ 듣기편-안
156,  방갑습니다아,연아선생님 목소리가 고혹적인 느낌..
157,  grey silver,모르겠어요 전 그냥 다 너무 좋아요
158,  야호기분딱조타,옛날에는 화려한 알앤비 스타일이 주를 이루었었죠 ㅎ요새는 깔끔하고 담백한 스타일 그치만 이둘을 다합쳐 놓아 세대를 아우르니 이건 뭐 빨리 빌보드 가즈아~!
159,  라시얀,이지영님 저음이 정말 미친 거 같은게 양쪽에서 고음으로 찢는데 저음으로 화음 넣고 심지어 그 저음이 고음만큼 잘들림
160,  Buddha,교수님 진도가 너무 빨라요....대학원생이 돼도 못 따라갈거 같아요...
161,  아진,ㅇㅅㄹㅅ
162,  shown Lee,이 또한 릅신의 가호인 것이군요!
163,  있었는데없었습니다,ㅋㅋㅋㅋㅋㅋㅋ 아니 닉네임이랑 프사랑 댓 조합으로 더 환장파티 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
164,  강해달,어릴땐 영현님 고음이 최고인지알았는데이지영님 음색 개미쳤다 들을때먀다 소름민혜님은 볼때마다 이영지인가 그사람 보이네요 나만그런가
165,  눈구름,박재정 리액션 봐라 찐이다 이건.. 다른 사람들 호응할때 가만히 노래 경청하고 있음
166,  이광석,이지영 교수님은 저 작은 체구에서 어떻게 저런 보컬이 나오는건지 신기합니다 ㅠ
167,  바나나,이집 잘하네 특히 흰옷 까만옷 입으신 분들이요
168,  •졍,다잖아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
169,  Stella K,"다른데서도 댓글에 마이크 든 여자분이라고….네, 신발신고 계신 분 완전 소름요."
170,  그딴 말할거면 꺼져,화음 넣으시는 분이 제일 잘하시는 것 같은데요?
171,  투비,교수님이 짱이죠 그래도
172,  Galaxy Memi,Break away~ 부분 부르시는 분 개소름
173,  수빈님,뭐래 머리푸르신 분이 제일 잘 부르시는데
174,  변영운,모르겟고 솔로파트잇는분이 젤 잘하는데 누가봐도
175,  Dark sailor,저는 안경 안쓰신 분이 제일 개쩌는듯
176,  FanTaDanCe,연차 쌓이면 자기 노래라도 삘 살린다고 원곡에 갖은 테크닉 집어넣어 템포망치고 음정 바꾸고 그러는데 원곡은 절대 안바꾸면서 적절한 테크닉은 또 집어넣는 이 완급조절이 리얼 소름임.
177,  대 한민국! 짝짝 짝 짝짝,막내 민혜양의 창법은 양의지의 세상 편안한 타격 스윙 창법임
178,  윤석주,"빅마마 단체는 진짜 오랜만에 보는건데, 진짜 놀면뭐하니 기획력은 지상파 케이블 통틀어서 최고다 진심. 3주뒤에 새로운 프로젝트 기다리고 있겠습니다 리듬게이머 관련된 게임 프로젝트 해도 재밌을듯"
179,  차우라,김태호 유재석 조합이니.. 나얼까지 섭외하는 능력보면 그냥 믿고보는거 ㅋㅋ
180,  떡볶이맛있어,딩고뮤직 빅마마 추천
181,  여름이누나, @차우라  헉 저 이 프로 안보고 이렇게 유투브로 짤방만 보는데 나얼이 나왔다고요???? 대박스...그렇담 박효신 좀 제발 섭외해주길🙏
182,  KD,"그룹을 만든 든든한 탱커, 디버프거는 매혹의 흑마법사, 폭딜 넣는 법사, 이들을 뒤에서 힐걸어 주는 힐러. 완벽."
183,  꽃방석,KD님 표현도 완벽
184,  악마흑마법사,wow
185,  파노라마,진짜 말이 안나오네.. 레전드의 귀환. 서점에서 우연히 흘러나오는 노래를 그 자리에서 서서 다 듣고 바로 앨범을 사러 갔던 처음이자 마지막 가수.. 그게 빅마마 였지. 그만큼 충격적이었음.
186,  햇재리,이것이 A++의 무대지 ㄷㄷㄷㄷ화음 너무 좋고 다들 즐기시는 모습 너무 좋고 컴백 고마워요ㅜㅠㅠㅠㅠㅠㅠ
187,  taekyung kim,네 사람중에 세사람은 목소리에 대한 기억이 많이 남아있는데 막내 민혜님은 이번활동에서 참 눈부시게 눈에 띄네요. 전보다 목소리가 더 좋아지셨어요.
188,  구르밍밍,지금목소리도 너무 좋지만 예전 목소리도 좋더라구요~조금 더 담백한?느낌 ㅎㅎ
189,  일반의무병,저도요. 저분들 활동 당시엔 막귀에다 다른장르 좋아해서 네분 소리가 잘 안들렸는데 이제야 다 들리네요.
190,  보석같은ChaeE,완전공감해요!!
191,  ss ss,교수님이 답답해서 현장뛰러오심
192,  James Ha,솔직히 이번 방송에서 빅마마 무대가 제일 소름 돋았다.
193,  쵸코파이,지영누나 진짜 너무팬입니다 ㄷㄷ
194,  케시움마케힘,저두요 ㅜㅠ음색 진짜 미쳤음
195,  케시움마케힘,지영누님이  unbreake my heart 불러주시면소원이 없겠음
196,  Kingkong Louin,지영이누나목소리는 와인같애....숙성되니까 더 지려버리네..
197,  료,누가 눈에 더 띄고 더 잘 들리고 이런 얘기 좀 그만했으면... 그냥 저 네명이라 저런 노래에 저런 조화가 가능한 건데.. 어쩜 저렇게 노래 잘하는 넷이 한 그룹일까 너무 멋져ㅠㅜ
198,  mae Ju,그건 아는데 그냥 영현누나처럼 상대적으로 팀에서 더 주목받는 맴버들이 있었는데 이젠 다른 맴버들의 매력이 더 잘 보인다는 긍정적인 반응과 그걸 그동안 알아차지 못한 자성의 댓글이 대부분인 거 같아 나쁘진 않은 거 같아요-^^
199,  료, @mae Ju  저도 그런 부분들은 당연히 너무 좋지만 알고보니 누구누구가 진짜였네 등의 댓글들도 많이 보여서 쓴 글이에요! 답글 달아주신 것처럼 어떤 멤버 매력이 이번에 잘 보인다 이렇게 말하면 될걸 굳이 비교하는 게 이해가 안가서요
200,  four youfam,아 이정도 해야 교수 하는구나
201,  앙글,스트레스 받았을 때 빅마마 노래 전체재생하면 듣는 순간 스트레스 풀림...극락..그 자체😇❤
202,  케시움마케힘,이렇게 좋은 노래가 많았다니 ㅜㅜ
203,  감주리,저희 세살 셋째가거미가 줄을 타고 내려옵니다 화음 듣고 쫒아와서 따라부르고 난리예요이런 고급 동요 들려쥬셔서 감사합니다귀호강 했어요☆빅마마 포레버♡
204,  SAEMI KIM,아 귀엽네여 ㅋㅋㅋㅋ
205,  club fight,으앙졸귀
206,  jazz man,울 아들도 소리지르고 좋아함ㅋㅋㅋㅋㅋㅋㅋ
207,  바나나,"근데 이정도면 그냥 웃으면서 재수강 할 수 있을 거 같은데,, 내 점수 납득 완"
208,  Bari Bari,제일 아쉬운점.. 엠비씨 음향이 존나 구린거.. 하... ㄹㅇ 음향이 이정도 수준밖에 안되나
209,  세라핀,맨 오른쪽 분 목소리가 완전 20대같음 그래서 감성이 짙고 노련한 가수가 부르는데도 트렌디해지는듯
210,  정우,어떻게 팀에 구멍이 없냐 ㅋㅋㅋㅋㅋㅋㅋㅋ 거를타선 없이 전부 리빙레전드 ㄷㄷ
211,  Rtwd Ag,7:39 애드립으로 무대를 뒤집어 노으셔따
212,  한반도프스키,이지영 베이스 진심 미쳤다....국적이 의심스러울 정돜ㅋㅋㅋㅋㅋㅋㅋ
213,  뚠,목소리가 악기 그자체…..
214,  글라스킴,"진짜 입이 현악기, 금관악기, 목관악기, 타악긴데 뭐가 더 필요해...."
215,  _en Roks,와 신연아님....어렸을땐 몰랐는데지금보니 브레이크어웨이 2버스에서.... 레이백 미치네.........어케 저런레이백이나오지...
216,  김준영,죄송한데 2버스는머구 레이백은머에요??
217,  _en Roks, @김준영  verse2요 1절에서 16마디 지나고 신연아님 파트 나오잖아요 거기가 verse2고요레이백은....음....뒤로 좀 밀어부른다고해야하나....음악하시는거 아니면 그정도로 이해하시면되요
218,  김준영, @_en Roks  감사합니다🙇
219,  주원,벌스2라고 보통 하지않나..ㅎㅎ 2버스라고 하니 읭?했네엽 ㅋㅋㅋ
220,  슈퍼스타,시간좌표좀 ㅠㅠ
221,  D D,"I'm love their songs but I am obsessed with one day more. I knew kpop since the 3rd gen, but their vocals are amazing."
222,  club fight,하루만더 완곡 첨들어보는데 빅마마 노래중에 제일 빡센듯?  박민혜 이영현 쉬지않고 호흡이어지면서 초고음에서 진행되누 ㅠㅠ
223,  suin K,"하…이영현의 표정과 제스쳐, 미치겠구마잉. 노래는 두 말하면 입 아픈 천상계지. 목소리 자체 조율하는거 보소!"
224,  샤걀,"이영현님 뮤지컬배우 김소현님이랑 닮으신 듯,,? 노래 잘하는 관상인가,,"
225,  이태원꿀주먹,아니 하나같이 애드리브를 저렇게 강하게 하는데 어떻게 한명만 안튀고 저렇게 어우러지지 진짜 신의경지다 저정도면
226,  주인님커몽,진짜 브레이크어웨이는 말할것도 없고거부같은 스타일도 빅마마 한테 엄청 잘 어울려 예전엔 몰랐는데 요즘 더 좋아지는 노래
227,  킹준,이걸 직관하는 msg워너비 너무 부러웠음ㅠㅠㅠ
228,  물범,하루만 더 라이브 영상 들을 때마다 극락...
229,  재성,10:10 이지영님 말 안되는데요..??후에 박민혜님도 ㅎㄷㄷ
230,  장췐ᄌ,역시 이교수님들은 학교보단 무대위가 어울리는군
231,  박살캠핑 Paradise,하..이지영..ㅠㅠ 유일한 저음이지만 인팩트 제대로에허스키한 목소리톤으로 고음까지 완벽하다개인적으로 제일 좋음
232,  디백스,진짜 옛날에는 그냥노래잘한다고만생각했는데 이제와서보니까 진짜 퍼펙트 조합이다..지금후배가수들은 보고배우길..
233,  전자파중독,이걸 배운다고 아무나 할순없을거 같은데요ㄷㄷ
234,  koog008,VOCAL QUEENS.  i just freakin LOVE their new song.  AMAZING
235,  Pink Poppy Tokki,MSG Wannabe and Yoo Jae Suk really enjoying Big Mama. Very harmonious voices!! ❤️🥰😍💯
236,  FC Barça,교수님들 이니까 학술대회 내지는 논문 발표네..평가단은 대중들이고 ㅋㅋㅋ
237,  hong kim,11:08 여기 구성이 너무 좋다엄청 깨끗한 목소리로 시작해서 초고음 나와주고 말도 안되게 묵직한 저음으로 이어짐...
238,  신우거지갈비탕,거미  최고
239,  ON M,ㄹㅇ..이부분반복중
240,  ᄋᄋ,구라안치고 이부분에서 소름끼침 진짜
241,  한국인입니다james,놀뭐는 유재석 혼자서라도 충분히 웃기면서 나아갈수 있다 하지만 유재석과 김태호는 항상 다른사람들과 조화를 이루며 다 함께 잘되려고 하지 그들만 잘되려고 하지 않는다 정말 위인들이 따로 없다
242,  HJ Park,유재석 자체가 다른 사람들을 빛나게 해주는 스타일이라 홍익인간 그자체
243,  M.S J.,유재석ㅇㅈ 김태호ㄴㅇㅈ
244,  IXTHYS,김태호 ㄴㅇㅈ인거 ㅇㅈ
245,  어느봄,10:49 지영님 목소리 개섹시
246,  나경원,10:55 음알못이지만 요기진짜 기계로찍어낸거같다
247,  일라오이,찍어낸건 아니고 부른걸 음정을 보정한거 같아요
248,  chiro2560,이 그룹위험합니다.걸그룹이눈에 안들어 오는신비로운 체험을한동안 하게 될 것이요.
249,  김세형,제 개인적으로 신연아님 같은 보컬 중에는 이소라님이 넘사라고 생각했는데.. 와우... 같은 반열이라고 느껴지네요.. 특히 thanks to...나 하루만 더 마지막 한 소절은 소름...
250,  팩폭러,손승연도 이영현처럼 그룹으로 데뷔했어야 돋보였을텐데
251,  four youfam,손승연 참 아쉽죠
252,  추미애,ㅇㅈ.. 여은 앤씨아 손승연 박혜원 강시라 이런애들 묶어서 냈으면 대박이었을듯
253,  M acc,지금 위키드 뮤지컬로 엄청 돋보이는거 보면 앙상블로 활동하면 진짜 끝내주겠네요. 제2의 빅마마가 탄생할지도
254,  KOREA LA,아쉬운 가창러들 많음..
255,  첼시브라운,그 옛날부터 이들을 묶어서 제작한 제작자는 도덕책...
256,  최로카,불후의 명곡에서 촛불 하나 부른 거 마냥 했었다면 차기 빅마마는 무조건 그들이지 않았을까 싶음...
257,  sion colli,손승연 유성은 넣고 그룹으로 했으면 어쩌면 대한민국 탑 보컬그룹이 나왔을수도 있는데..
258,  한자명,뭐가 문제일까...ㅠㅠ분명 빅마마랑 sg 워너비 요즘 핫한데 왜 음악차트순위는 중위권이지...ㅠㅠㅠ
259,  망고,음원보다 라이브가 더 좋아서 다 라이브 듣는 듯....ㅠㅠㅠ
260,  JH 1000,100위안에만들어도 대단한거아닌가?
